Timestamp,Session ID,Filename,Filesize (Bytes),Request Type,Model Used,Input Tokens,Output Tokens,Grounded Searches Performed,Token Cost USD,Fixed Cost USD,Total Estimated Cost USD
2025-05-27T10:12:28.339964+00:00,a8f1984c-7bdb-44de-a351-d1b82df535e3,Ball_Valves_type_374-375_-_GF_Piping_Systems.pdf,1853200,pdf_validation_with_report,gemini-2.0-flash,3404,380,0,0.00049240,0.00000000,0.00049240
2025-05-27T10:38:35.776275+00:00,a86238cd-7dfe-4506-94b5-d20b164fb64d,SDIA 096623 Resinous Matrix Terrazzo Flooring.pdf,366090,standard_llm_extraction,gemini-2.5-flash-preview-04-17,6789,7180,0,0.00524325,0.00000000,0.00524325
2025-05-27T10:39:27.224478+00:00,a86238cd-7dfe-4506-94b5-d20b164fb64d,pds_extraction_for_Flexible Epoxy Membrane (Crack Bridging Membrane),0,grounded_search_llm,gemini-2.0-flash,727,4903,1,0.00203390,0.03500000,0.03703390
2025-05-27T10:40:06.864329+00:00,a86238cd-7dfe-4506-94b5-d20b164fb64d,Iso-Crack_Epoxy_Membrane_-_Product_Data_Sheet.pdf,465813,pdf_validation_with_report,gemini-2.0-flash,2532,282,0,0.00036600,0.00000000,0.00036600
2025-05-27T10:40:13.525894+00:00,a86238cd-7dfe-4506-94b5-d20b164fb64d,FlexCrete_400_-_Creative_Concrete_Concepts.pdf,248443,pdf_validation_with_report,gemini-2.0-flash,3168,289,0,0.00043240,0.00000000,0.00043240
2025-05-27T10:40:19.027896+00:00,a86238cd-7dfe-4506-94b5-d20b164fb64d,Epoflex_400_-_Non-toxic_Epoxy_Polysulphide_Waterproofing_Coating.pdf,480312,pdf_validation_with_report,gemini-2.0-flash,2881,312,0,0.00041290,0.00000000,0.00041290
2025-05-27T10:40:24.247763+00:00,a86238cd-7dfe-4506-94b5-d20b164fb64d,EPOLFLEX__Industrial_Floor.pdf,229404,pdf_validation_with_report,gemini-2.0-flash,2651,285,0,0.00037910,0.00000000,0.00037910
2025-05-27T11:31:06.799186+00:00,a579f8da-e25d-4b09-9a9e-8cf0ac22a738,SDIA 092900 Gypsum Board.pdf,294431,standard_llm_extraction,gemini-2.5-flash-preview-04-17,5690,5841,0,0.00427830,0.00000000,0.00427830
2025-05-27T11:35:43.194682+00:00,a579f8da-e25d-4b09-9a9e-8cf0ac22a738,pds_extraction_for_Interior Gypsum Board,0,grounded_search_llm,gemini-2.0-flash,1745,4750,1,0.00207450,0.03500000,0.03707450
2025-05-27T11:37:59.005036+00:00,a579f8da-e25d-4b09-9a9e-8cf0ac22a738,CertainTeed_Type_X_Gypsum_Board_Product_Data_Sheet.pdf,314254,pdf_validation_with_report,gemini-2.0-flash,3104,745,0,0.00060840,0.00000000,0.00060840
2025-05-27T11:38:09.769663+00:00,a579f8da-e25d-4b09-9a9e-8cf0ac22a738,USG_Sheetrock_Brand_Gypsum_Panels__1_4_and_3_8_inch__Submittal_Sheet.pdf,382786,pdf_validation_with_report,gemini-2.0-flash,3249,750,0,0.00062490,0.00000000,0.00062490
2025-05-27T11:38:19.393094+00:00,a579f8da-e25d-4b09-9a9e-8cf0ac22a738,USG_Sheetrock__Brand_UltraLight_Panels_Product_Information.pdf,650355,pdf_validation_with_report,gemini-2.0-flash,2972,737,0,0.00059200,0.00000000,0.00059200
2025-05-27T13:27:35.498595+00:00,bca22b12-6f4d-40ed-bdfc-106edf4cb346,SDIA 092900 Gypsum Board.pdf,294431,standard_llm_extraction,gemini-2.5-flash-preview-04-17,5690,5392,0,0.00400890,0.00000000,0.00400890
2025-05-27T13:28:28.741930+00:00,bca22b12-6f4d-40ed-bdfc-106edf4cb346,"pds_extraction_for_Gypsum Board, Type X",0,grounded_search_llm,gemini-2.0-flash,791,5303,1,0.00220030,0.03500000,0.03720030
